Time,Channel A,Channel B
(s),(V),(mV)

0.56900003,0.39887690,21.71392000
0.56950003,0.40003660,23.27036000
0.57000003,0.40003660,21.13712000
0.57050003,0.40003660,22.69356000
0.57100003,0.40003660,23.32835000
0.57150003,0.40003660,20.78921000
0.57200003,0.40125740,22.17475000
0.57250003,0.40003660,22.34870000
0.57300003,0.40003660,20.15442000
0.57350003,0.39887690,22.40669000
0.57400003,0.39771720,21.71392000
0.57450003,0.40003660,22.23273000
0.57500003,0.39887690,21.53996000
0.57550003,0.39887690,20.96317000
0.57600003,0.39887690,20.09644000
0.57650003,0.39887690,22.23273000
0.57700003,0.39887690,22.34870000
0.57750003,0.39887690,22.40669000
0.57800003,0.39887690,21.59795000
0.57850003,0.40003660,23.15744000
0.57900003,0.39887690,22.40669000
0.57950003,0.40003660,21.36601000
0.58000003,0.39771720,23.56029000
0.58050003,0.39887690,22.58064000
0.58100003,0.40003660,21.59795000
0.58150003,0.40003660,22.52266000
0.58200003,0.40003660,23.04147000
0.58250003,0.39887690,23.38633000
0.58300003,0.39887690,22.11676000
0.58350003,0.39887690,21.88787000
0.58400003,0.40003660,20.61831000
0.58450003,0.39887690,23.32835000
0.58500003,0.39887690,22.58064000
0.58550003,0.39887690,19.86755000
0.58600003,0.39887690,20.50233000
0.58650003,0.39771720,22.29072000
0.58700003,0.40003660,22.17475000
0.58750003,0.39771720,22.23273000
0.58800003,0.39887690,22.98349000
0.58850003,0.39887690,22.34870000
0.58900003,0.39771720,23.27036000
0.58950003,0.39771720,22.23273000
0.59000003,0.39771720,20.67629000
0.59050003,0.39771720,20.44435000
0.59100003,0.39887690,22.46467000
0.59150003,0.39771720,22.29072000
0.59200003,0.39887690,22.34870000
0.59250003,0.39771720,20.44435000
0.59300003,0.39887690,20.38636000
0.59350003,0.39771720,21.02115000
0.59400003,0.39887690,22.40669000
0.59450003,0.39771720,22.58064000
0.59500003,0.39887690,21.02115000
0.59550003,0.39771720,22.52266000
0.59600003,0.39655750,20.96317000
0.59650003,0.39771720,22.34870000
0.59700003,0.39771720,22.17475000
0.59750003,0.39887690,22.11676000
0.59800003,0.39655750,22.80953000
0.59850003,0.39655750,22.00079000
0.59900003,0.39771720,22.92550000
0.59950003,0.39771720,23.15744000
0.60000003,0.39655750,21.59795000
0.60050003,0.39771720,22.17475000
0.60100003,0.39771720,21.13712000
0.60150003,0.39887690,20.84719000
0.60200003,0.39655750,21.36601000
0.60250003,0.39771720,21.71392000
0.60300003,0.39771720,20.90518000
0.60350003,0.39771720,22.86752000
0.60400003,0.39887690,23.04147000
0.60450003,0.39887690,23.50230000
0.60500003,0.39771720,21.65594000
0.60550003,0.39771720,21.82989000
0.60600003,0.39655750,19.75158000
0.60650003,0.39655750,22.40669000
0.60700003,0.39771720,21.82989000
0.60750003,0.39655750,23.15744000
0.60800003,0.39887690,22.29072000
0.60850003,0.39655750,21.31108000
0.60900003,0.39771720,22.05878000
0.60950003,0.39655750,21.94586000
0.61000003,0.39771720,23.04147000
0.61050003,0.39887690,21.65594000
0.61100003,0.39771720,22.29072000
0.61150003,0.39771720,23.90515000
0.61200003,0.39655750,22.17475000
0.61250003,0.39655750,22.52266000
0.61300003,0.39655750,22.98349000
0.61350003,0.39655750,22.11676000
0.61400003,0.39655750,22.58064000
0.61450003,0.39655750,21.94586000
0.61500003,0.39539780,21.88787000
0.61550003,0.39655750,20.84719000
0.61600003,0.39655750,20.21241000
0.61650003,0.39655750,20.38636000
0.61700003,0.39655750,21.65594000
0.61750003,0.39539780,22.75155000
0.61800003,0.39655750,20.84719000
0.61850003,0.39771720,22.00079000
0.61900003,0.39655750,20.84719000
